22,34,60
60,65,23
25,67,75
88,86,40
64,82,76
38,33,38
14,7,76
43,92,4
65,75,58
40,17,82
24,98,99
12,62,71
97,75,1
15,16,30
80,44,26
51,100,19
92,25,43
69,45,19
100,62,90
47,76,85
19,50,97
4,34,55
79,89,3
21,83,79
24,22,6
98,42,32
100,67,43
9,27,65
48,89,15
70,16,29
28,43,96
82,53,69
19,37,18
43,55,1
94,6,46
88,7,67
66,59,6
33,20,78
81,47,31
91,22,96
23,3,99
38,40,10
15,20,28
79,73,56
35,19,68
16,87,64
28,15,61
20,32,40
35,33,34
86,77,29
52,10,92
39,90,1
53,34,33
4,70,48
39,57,2
79,51,54
18,65,26
25,83,53
29,24,100
76,6,10
28,10,66
22,98,49
92,13,7
81,77,33
91,97,31
97,41,55
15,6,10
51,17,87
68,19,59
11,77,11
59,89,76
72,72,75
17,68,81
76,38,65
16,18,96
65,78,81
2,18,45
8,14,11
69,80,21
23,22,57
23,60,81
69,45,8
78,39,97
93,39,97
88,89,27
16,52,15
49,59,94
41,3,22
1,56,45
38,94,85
42,48,35
76,49,86
32,6,3
25,46,51
65,3,32
33,21,33
37,85,8
24,1,60
61,26,56
93,10,44
71,82,84
20,11,39
26,57,51
82,32,9
58,10,26
87,27,38
67,59,84
24,2,92
68,62,7
12,80,43
93,27,5
91,96,48
76,5,44
7,99,65
18,33,20
25,27,44
52,87,25
63,86,23
69,73,91
39,73,51
36,95,29
23,61,83
40,60,9
66,18,47
86,69,58
66,49,92
8,19,70
71,100,73
68,40,42
20,15,27
74,30,66
93,70,70
14,86,14
24,13,51
18,99,38
80,55,81
9,74,55
14,93,52
23,91,72
52,81,68
80,85,96
64,8,33
47,53,69
33,22,66
77,25,68
68,42,62
23,69,60
73,73,44
51,30,56
48,84,46
30,61,8
49,18,88
94,69,4
36,64,1
13,86,10
19,86,6
23,94,19
26,61,60
64,91,81
59,12,26
82,60,8
24,81,62
94,72,27
58,36,100
88,32,95
48,4,2
74,8,66
10,32,58
21,61,91
88,1,44
76,1,91
62,53,53
53,49,41
21,38,73
34,35,97
3,79,42
76,45,7
99,59,75
38,77,29
78,26,12
42,34,8
69,42,78
99,4,60
33,100,94
12,20,90
56,42,17
37,38,93
48,97,78
78,31,56
87,66,64
10,9,6
26,62,79
75,71,98
23,61,17
54,72,44
13,42,85
3,98,46
48,83,87
50,69,40
100,92,7
42,10,55
68,87,24
100,58,7
2,94,20
17,55,47
3,87,6
22,87,59
77,59,31
59,68,98
40,14,29
54,90,46
66,7,35
7,72,10
40,43,5
32,34,50
42,98,30
16,32,22
17,23,72
61,64,59
40,62,59
42,13,4
74,47,68
94,100,33
4,11,30
61,16,35
29,48,5
87,68,16
13,54,3
80,22,30
94,69,21
73,44,36
42,1,4
21,79,12
89,7,59
92,5,94
98,78,68
81,12,14
53,23,59
39,58,93
28,13,90
73,83,41
34,86,48
28,22,37
73,74,65
41,58,44
79,22,41
9,44,80
26,62,60
26,7,5
60,55,52
42,92,97
69,49,11
85,98,50
68,37,69
32,54,71
89,90,28
100,82,5
83,40,6
78,36,93
14,28,49
82,37,68
63,29,7
7,21,71
15,93,83
98,43,34
98,92,25
71,88,38
36,18,7
5,47,87
25,77,20
6,27,56
37,64,24
38,35,94
69,37,71
16,53,97
85,71,68
43,23,25
70,90,36
10,16,8
66,24,43
64,8,91
89,27,91
68,71,43
33,94,55
6,21,23
67,94,9
31,88,16
70,73,61
12,30,78
60,76,42
95,82,59
97,36,48
71,31,42
85,30,31
21,4,57
47,20,33
69,25,91
54,22,50
79,88,71
39,69,97
89,19,36
22,28,61
10,83,10
32,97,53
26,26,59
8,65,75
45,4,25
95,76,78
37,46,54
36,27,15
40,54,64
43,87,54
20,30,10
97,55,14
36,17,57
30,61,1
42,34,82
68,14,35
43,65,38
60,37,22
40,7,58
71,32,31
53,61,91
24,62,96
30,84,16
41,10,4
42,33,19
60,9,90
70,15,73
51,38,93
12,65,69
48,78,84
92,9,94
43,10,38
80,48,23
16,60,95
27,72,45
90,6,16
85,88,61
61,72,67
40,54,50
98,79,9
21,78,90
31,8,17
25,61,39
16,12,36
68,44,96
7,45,47
74,57,78
89,85,66
18,36,55
77,42,62
98,60,61
88,21,89
88,20,47
6,63,68
36,15,45
40,82,36
3,96,93
24,96,13
46,58,47
96,62,38
21,41,91
63,6,66
22,98,53
31,13,20
9,26,45
57,85,35
35,18,45
47,87,73
66,46,56
31,55,95
52,73,74
79,66,65
41,84,30
60,68,24
42,44,63
17,81,17
59,16,90
66,63,95
74,88,85
31,12,16
28,97,42
94,36,15
52,26,4
43,4,86
4,34,67
43,54,70
20,43,39
62,79,71
97,25,40
78,13,71
15,89,35
22,15,66
31,4,71
99,26,75
20,8,8
18,22,67
32,60,19
21,32,61
80,26,71
65,90,47
61,22,44
24,92,40
87,25,87
84,78,84
98,39,77
32,94,69
48,44,45
24,25,70
72,86,49
86,93,86
77,84,53
84,41,34
